,id_formation,matchType,possession,shootInPenalty,shootHeading,shootOutPenalty,shootTotal,in_rate,out_rate,heading_rate,passTry,shortPassTry,longpassTry,throughpass,short_rate,long_rate,thr_rate,directpass,direct_rate,center_fw_shoot,side_fw_shoot,center_mf_shoot,center_fw_pass,side_fw_pass,center_mf_pass,side_df_pass,center_df_pass,line1_pass,line2_pass,center_fw_dribble,side_fw_dribble,center_mf_dribble,side_df_dribble,line1_dribble,line2_dribble,center_fw_posses,side_fw_posses,center_mf_posses,side_df_posses,center_df_posses,line1_posses,line2_posses,intercepth_fw,tackle_fw,tackle,intercept,defence_fw_rate,defence_fw,defences,center_fw_use,center_mf_use,side_fw_use,side_df_use,side_use,use_all,center_fw_rate,center_mf_rate,center_rate,side_rate,side_df_rate,all_use,line1_use,line2_use,line1_rate,line2_rate,side_fw_rate,df,mf,fw,center_fw,center_mf,side_fw,side_df,side,center,line2,center_fw_one,center_mf_one,side_fw_one,side_df_one,center_one,side_one,line2_one,cnt
0,004ed741426633f14e3e8b5b_442,50.0,0.526,3.2,1.1,2.8,7.1,0.6047222222222223,0.39527777777777773,0.13055555555555556,161.2,142.3,5.8,14.2,0.8800410077711736,0.03590573302438357,0.09076699384925607,20.0,0.12667272687363965,3.3,0.6,2.3,51.4,12.8,71.6,13.4,10.2,51.4,84.4,28.9,9.4,36.3,6.2,28.9,45.7,10.1,2.8,10.3,4.0,6.0,10.1,13.1,1.6,4.1,11.0,5.8,0.3400023889154324,5.7,16.8,90.4,118.2,25.0,23.6,48.6,257.2,0.35098479860730103,0.4667281006513508,0.817712899258652,0.18228710074134813,0.6791108780414332,280.2,90.4,143.2,0.32179000053733486,0.5131115969560894,0.1030619578397,4.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,5.0,4.0,45.2,41.325,25.0,11.8,42.766666666666666,14.525,35.8,10.0
1,009357e613446985dfd18622_451,50.0,0.489375,2.875,0.9375,4.0,7.8125,0.5019402472527472,0.4980597527472527,0.12922962454212455,128.0625,100.0625,8.625,24.5,0.7796727330508519,0.06834186032661761,0.19225839369862763,33.125,0.2606002540252453,1.6875,1.625,4.0625,16.125,25.125,57.6875,14.625,11.125,16.125,82.8125,8.3125,17.625,41.6875,9.9375,8.3125,59.3125,4.0,7.0625,12.375,5.4375,5.3125,4.0,19.4375,1.4375,2.75,10.0625,5.875,0.2595294085443542,4.1875,15.9375,28.4375,111.75,49.8125,30.0,79.8125,220.0,0.12957472800688077,0.5067595230578777,0.6363342510647585,0.36366574893524145,0.38296207640558094,247.875,28.4375,161.5625,0.11511201216315103,0.6494217520399285,0.26128784203783767,4.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,28.4375,37.25,24.90625,15.0,35.046875,19.953125,32.3125,16.0
2,00c0fec278956d51bb63a3a2_523,50.0,0.5226666666666666,3.2666666666666666,3.533333333333333,1.5333333333333334,8.333333333333334,0.8322390572390572,0.16776094276094275,0.4296632996632997,125.13333333333334,100.06666666666666,7.666666666666667,17.866666666666667,0.7985117654116725,0.0607863795652268,0.14359375867483773,25.533333333333335,0.20438013824006454,6.8,0.0,0.9333333333333333,50.733333333333334,0.0,39.93333333333333,17.133333333333333,13.933333333333334,50.733333333333334,39.93333333333333,38.8,0.0,27.466666666666665,13.666666666666666,38.8,27.466666666666665,15.4,0.0,7.666666666666667,5.733333333333333,8.6,15.4,7.666666666666667,2.7333333333333334,4.866666666666666,13.8,9.266666666666667,0.3203837476020138,7.6,23.066666666666666,104.93333333333334,75.06666666666666,0.0,36.53333333333333,36.53333333333333,216.53333333333333,0.48153542637452434,0.3499492424967309,0.8314846688712553,0.16851533112874476,1.0,251.66666666666666,104.93333333333334,75.06666666666666,0.4141315282623696,0.29982649427905506,0.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,5.0,2.0,34.977777777777774,37.53333333333333,,18.266666666666666,36.0,18.266666666666666,37.53333333333333,15.0
3,01247880cf81e161d85bf2f3_523,50.0,0.4881818181818182,2.5454545454545454,1.0,3.272727272727273,6.818181818181818,0.5237373737373737,0.4762626262626263,0.15454545454545454,104.18181818181819,80.63636363636364,5.909090909090909,18.09090909090909,0.7722280043472118,0.05876910388720198,0.17434282519109992,24.0,0.23311192907830192,3.909090909090909,0.0,1.9090909090909092,40.72727272727273,0.0,28.09090909090909,16.90909090909091,14.363636363636363,40.72727272727273,28.09090909090909,32.0,0.0,20.09090909090909,12.636363636363637,32.0,20.09090909090909,13.636363636363637,0.0,7.7272727272727275,7.363636363636363,9.090909090909092,13.636363636363637,7.7272727272727275,2.4545454545454546,5.545454545454546,16.454545454545453,8.454545454545455,0.32959237731965,8.0,24.90909090909091,86.36363636363636,55.90909090909091,0.0,36.90909090909091,36.90909090909091,179.1818181818182,0.4829118659995618,0.31152464622421006,0.794436512223772,0.2055634877762281,1.0,216.45454545454547,86.36363636363636,55.90909090909091,0.3998501496591531,0.25626361829440775,0.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,5.0,2.0,28.78787878787879,27.954545454545453,,18.454545454545453,28.454545454545453,18.454545454545453,27.954545454545453,11.0
4,014c6e8a031b7941ee2f9b24_433,50.0,0.50375,4.6875,0.875,1.4375,7.0,0.8175595238095238,0.18244047619047618,0.12135416666666667,107.5625,66.0,5.375,37.5,0.6105945175456767,0.051901972361228274,0.3509349305937124,42.875,0.4028369029549407,2.0625,2.0,2.375,15.5,21.6875,43.625,13.8125,8.25,37.1875,43.625,11.625,16.5,31.0625,10.3125,28.125,31.0625,5.625,6.5625,12.1875,5.1875,5.8125,12.1875,12.1875,1.1875,2.375,9.5625,6.75,0.23505575225723882,3.5625,16.3125,32.75,86.875,44.75,29.3125,74.0625,193.6875,0.17128546169408232,0.444568998480653,0.6158544601747353,0.38414553982526467,0.39283840941194226,220.8125,77.5,86.875,0.3550800812272341,0.3904205386203995,0.2748693848625083,4.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,32.75,28.958333333333336,22.375,14.65625,29.90625,18.515625,28.958333333333336,16.0
5,01628f003c8866e44c75616b_433,50.0,0.5225,3.6875,0.375,1.625,5.6875,0.7331259018759019,0.2668740981240981,0.06009650072150072,131.5625,117.0625,4.375,13.125,0.8889389137900402,0.03392822115811015,0.10083539947384132,17.5,0.13476362063195146,1.3125,1.625,2.375,16.0,26.875,54.375,19.8125,11.6875,42.875,54.375,9.875,20.375,33.8125,12.1875,30.25,33.8125,3.625,7.0625,11.875,5.3125,5.25,10.6875,11.875,0.5,1.3125,11.5,6.4375,0.10522040255496137,1.8125,17.9375,29.5,100.0625,54.3125,37.3125,91.625,221.1875,0.13359146520550233,0.45381048759023257,0.5874019527957349,0.4125980472042651,0.4011046084980696,247.875,83.8125,100.0625,0.33824939840453266,0.40534986062096573,0.295527818399914,4.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,29.5,33.354166666666664,27.15625,18.65625,32.390625,22.90625,33.354166666666664,16.0
6,01647794c2adebb373b887d1_451,50.0,0.508,4.8,0.5333333333333333,1.8666666666666667,7.2,0.7807215007215007,0.21927849927849927,0.06167388167388167,110.73333333333333,94.73333333333333,3.6,13.133333333333333,0.8524963837415043,0.03269932451714591,0.12109162758773998,16.733333333333334,0.1537909521048859,2.4,2.066666666666667,2.2666666666666666,11.2,20.933333333333334,50.86666666666667,15.866666666666667,9.133333333333333,11.2,71.8,9.666666666666666,19.066666666666666,40.733333333333334,12.0,9.666666666666666,59.8,5.266666666666667,5.8,9.933333333333334,5.133333333333334,4.466666666666667,5.266666666666667,15.733333333333333,0.9333333333333333,1.4666666666666666,6.333333333333333,4.4,0.2492819628157974,2.4,10.733333333333333,26.133333333333333,101.53333333333333,45.8,33.0,78.8,206.46666666666667,0.127435992342959,0.49189631265859696,0.6193323050015559,0.3806676949984441,0.4203171265115367,229.6,26.133333333333333,147.33333333333334,0.11462209648606149,0.6396302464123219,0.2631862941100733,4.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,26.133333333333333,33.84444444444445,22.9,16.5,31.916666666666668,19.7,29.466666666666665,15.0
7,0166bfc57bdaaf3920c79a87_451,50.0,0.5272727272727272,2.8181818181818183,0.5454545454545454,2.272727272727273,5.636363636363637,0.6061688311688311,0.39383116883116887,0.08636363636363636,111.36363636363636,85.45454545454545,7.363636363636363,21.0,0.7645062921675411,0.06620952716268072,0.19108094232019057,28.363636363636363,0.25729046948287126,2.0,0.6363636363636364,2.4545454545454546,11.090909090909092,18.454545454545453,55.81818181818182,11.818181818181818,10.454545454545455,11.090909090909092,74.27272727272727,9.181818181818182,14.727272727272727,46.81818181818182,9.818181818181818,9.181818181818182,61.54545454545455,5.363636363636363,5.363636363636363,11.363636363636363,5.636363636363637,5.2727272727272725,5.363636363636363,16.727272727272727,0.7272727272727273,1.5454545454545454,8.090909090909092,5.7272727272727275,0.13498268128085572,2.272727272727273,13.818181818181818,25.636363636363637,114.0,38.54545454545455,27.272727272727273,65.81818181818181,205.45454545454547,0.1241902526855068,0.5576891128349731,0.68187936552048,0.31812063447952,0.4066534345849867,232.36363636363637,25.636363636363637,152.54545454545453,0.10969550520486114,0.6562685209662041,0.21505526220707374,4.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,25.636363636363637,38.0,19.272727272727273,13.636363636363637,34.90909090909091,16.454545454545453,30.50909090909091,11.0
8,01e0e14930e5296dc9a3a946_523,50.0,0.48363636363636364,3.0,1.0,2.8181818181818183,6.818181818181818,0.5864219114219114,0.4135780885780886,0.11113053613053614,98.45454545454545,80.18181818181819,7.090909090909091,13.545454545454545,0.8131129424053604,0.07323144632583947,0.13783156094573748,20.636363636363637,0.21106300727157692,4.636363636363637,0.0,2.0,37.45454545454545,0.0,31.454545454545453,14.545454545454545,11.818181818181818,37.45454545454545,31.454545454545453,34.90909090909091,0.0,27.363636363636363,13.0,34.90909090909091,27.363636363636363,11.636363636363637,0.0,10.727272727272727,5.363636363636363,6.2727272727272725,11.636363636363637,10.727272727272727,3.0,6.545454545454546,11.454545454545455,6.7272727272727275,0.5457673799501281,9.545454545454545,18.181818181818183,84.0,69.54545454545455,0.0,32.90909090909091,32.90909090909091,186.45454545454547,0.45082642961726127,0.37303481486542384,0.8238612444826852,0.17613875551731487,1.0,218.36363636363637,84.0,69.54545454545455,0.3850159043673791,0.319597807342007,0.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,5.0,2.0,28.0,34.77272727272727,,16.454545454545453,30.70909090909091,16.454545454545453,34.77272727272727,11.0
9,02025276460bcb6eceedf2ab_433,50.0,0.48200000000000004,3.3,0.6,3.0,6.9,0.5611904761904762,0.43880952380952387,0.0819047619047619,105.7,79.2,4.0,23.9,0.7482816167081676,0.03829277977575013,0.22702546626440925,27.9,0.2653182460401594,3.8,0.0,2.7,33.4,0.0,46.7,14.3,7.9,33.4,46.7,28.4,0.0,32.2,11.3,28.4,32.2,10.7,0.0,11.4,5.4,3.4,10.7,11.4,1.3,3.0,7.6,5.4,0.32515636410373255,4.3,13.0,72.5,90.3,0.0,31.0,31.0,193.8,0.3726276472379167,0.46612380767951944,0.8387514549174361,0.1612485450825639,1.0,215.3,72.5,90.3,0.33555924009379,0.41997468606400795,0.0,4.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,6.0,3.0,24.166666666666664,30.1,,15.5,27.133333333333333,15.5,30.1,10.0
